,AnsId,QuestionId,Ans_count,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
318,12,3.0,11,45,0.0,11,1220,0.0,1.0,1.0,0.0909090909091
319,109,3.0,11,46,1.0,1,1406,0.857142857143,0.0909090909091,0.00826446280992,-0.0909090909091
320,410,3.0,11,46,0.0,2,1406,0.857142857143,0.181818181818,0.0330578512397,-0.0909090909091
321,9,3.0,11,46,0.0,3,1406,0.875,0.272727272727,0.0743801652893,0.181818181818
322,35,3.0,11,46,0.0,4,1406,0.0,0.363636363636,0.132231404959,-0.0909090909091
323,4571,3.0,11,46,0.0,5,1406,0.0,0.454545454545,0.206611570248,-0.0909090909091
324,143,3.0,11,46,0.0,6,1406,0.0,0.545454545455,0.297520661157,-0.0909090909091
325,1669,3.0,11,46,0.0,7,1406,0.0,0.636363636364,0.404958677686,-0.0909090909091
326,148,3.0,11,46,0.0,8,1406,0.0,0.727272727273,0.528925619835,-0.0909090909091
327,11,3.0,11,46,0.0,9,1406,0.833333333333,0.818181818182,0.669421487603,0.454545454545
328,15,3.0,11,46,0.0,10,1406,-0.5,0.909090909091,0.826446280992,-0.0909090909091
329,12,3.0,11,46,0.0,11,1406,0.0,1.0,1.0,0.0909090909091
330,16,7.0,2,47,3.0,1,0,0.0,0.5,0.25,0.0
331,42,7.0,2,47,2.0,2,0,0.0,1.0,1.0,0.0
332,16,7.0,3,48,2.0,1,1,0.0,0.333333333333,0.111111111111,0.0
333,42,7.0,3,48,1.0,2,1,0.0,0.666666666667,0.444444444444,0.0
334,127,7.0,3,48,1.0,3,1,0.0,1.0,1.0,0.0
335,16,7.0,3,49,1.0,1,2,0.75,0.333333333333,0.111111111111,0.0
336,42,7.0,3,49,1.0,2,2,0.666666666667,0.666666666667,0.444444444444,0.0
337,127,7.0,3,49,1.0,3,2,0.0,1.0,1.0,0.0
338,16,7.0,4,50,1.0,1,4,0.833333333333,0.25,0.0625,0.0
