,index,AnsRank,Votes,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
9288,4029,1,0.0,2,0.0,0.0,0.0,-0.666666666667
9289,4029,2,1.0,2,0.0,0.0,0.0,-0.333333333333
9290,4030,1,3.0,3,0.857142857143,0.0,0.0,-0.666666666667
9291,4030,2,1.0,3,0.666666666667,0.0,0.0,-0.333333333333
9292,4031,1,1.0,4,0.888888888889,0.0,0.0,-0.666666666667
9293,4031,2,0.0,4,0.666666666667,0.0,0.0,-0.333333333333
9294,4032,1,0.0,10,0.888888888889,0.0,0.0,-0.75
9295,4032,2,0.0,10,0.666666666667,0.0,0.0,-0.5
9296,4032,3,2.0,10,0.0,0.0,0.0,-0.25
9297,4033,1,1.0,12,0.916666666667,0.0,0.0,-0.75
9298,4033,2,0.0,12,0.666666666667,0.0,0.0,-0.5
9299,4033,3,0.0,12,0.0,0.0,0.0,-0.25
9300,4034,1,1.0,26,0.923076923077,0.0,0.0,-0.75
9301,4034,2,0.0,26,0.666666666667,0.0,0.0,-0.5
9302,4034,3,0.0,26,0.0,0.0,0.0,-0.25
9303,4035,1,1.0,53,0.928571428571,0.0,0.0,-0.75
9304,4035,2,0.0,53,0.666666666667,0.0,0.0,-0.5
9305,4035,3,0.0,53,0.0,0.0,0.0,-0.25
9306,4036,1,1.0,123,0.933333333333,0.0,0.0,-0.75
9307,4036,2,0.0,123,0.666666666667,0.0,0.0,-0.5
9308,4036,3,0.0,123,0.0,0.0,0.0,-0.25
9309,4037,1,1.0,370,0.9375,0.0,0.0,-0.75
9310,4037,2,0.0,370,0.666666666667,0.0,0.0,-0.5
9311,4037,3,0.0,370,0.0,0.0,0.0,-0.25
9314,4040,1,0.0,3,0.0,0.0,0.0,-0.666666666667
9315,4040,2,1.0,3,0.0,0.0,0.0,-0.333333333333
9316,4041,1,0.0,4,0.0,0.0,0.0,-0.666666666667
9317,4041,2,1.0,4,0.0,0.0,0.0,-0.333333333333
9318,4042,1,1.0,5,0.833333333333,0.0,0.0,-0.666666666667
9319,4042,2,0.0,5,0.0,0.0,0.0,-0.333333333333
9320,4043,1,0.0,8,0.833333333333,0.0,0.0,-0.666666666667
9321,4043,2,1.0,8,0.5,0.0,0.0,-0.333333333333
9322,4044,1,0.0,12,0.833333333333,0.0,0.0,-0.666666666667
9323,4044,2,1.0,12,0.666666666667,0.0,0.0,-0.333333333333
9324,4045,1,1.0,26,0.857142857143,0.0,0.0,-0.666666666667
9325,4045,2,0.0,26,0.666666666667,0.0,0.0,-0.333333333333
9326,4046,1,0.0,37,0.857142857143,0.0,0.0,-0.75
9327,4046,2,0.0,37,0.666666666667,0.0,0.0,-0.5
9328,4046,3,1.0,37,0.0,0.0,0.0,-0.25
9329,4047,1,0.0,38,0.857142857143,0.0,0.0,-0.75
9330,4047,2,1.0,38,0.0,-0.25,0.0625,-0.5
9331,4047,3,0.0,38,0.666666666667,0.25,0.0625,-0.25
9332,4048,1,0.0,40,0.857142857143,0.0,0.0,-0.75
9333,4048,2,1.0,40,0.5,-0.25,0.0625,-0.5
9334,4048,3,0.0,40,0.666666666667,0.25,0.0625,-0.25
9335,4049,1,0.0,189,0.857142857143,0.0,0.0,-0.8
9336,4049,2,0.0,189,0.5,-0.2,0.04,-0.6
9337,4049,3,0.0,189,0.666666666667,0.2,0.04,-0.4
9338,4049,4,1.0,189,0.0,0.0,0.0,-0.2
9341,4052,1,0.0,603,0.0,0.0,0.0,-0.666666666667
9342,4052,2,0.0,603,0.0,0.0,0.0,-0.333333333333
9348,4058,1,0.0,988,0.666666666667,0.0,0.0,-0.666666666667
9349,4058,2,0.0,988,0.0,0.0,0.0,-0.333333333333
9353,4062,1,0.0,9,0.75,0.0,0.0,-0.666666666667
9354,4062,2,1.0,9,0.0,0.0,0.0,-0.333333333333
9355,4063,1,2.0,10,0.8,0.0,0.0,-0.666666666667
9356,4063,2,1.0,10,0.0,0.0,0.0,-0.333333333333
9357,4064,1,1.0,11,0.833333333333,0.0,0.0,-0.666666666667
9358,4064,2,1.0,11,0.5,0.0,0.0,-0.333333333333
9359,4065,1,0.0,15,0.833333333333,0.0,0.0,-0.666666666667
9360,4065,2,1.0,15,0.666666666667,0.0,0.0,-0.333333333333
9361,4066,1,0.0,23,0.833333333333,0.0,0.0,-0.666666666667
9362,4066,2,1.0,23,0.75,0.0,0.0,-0.333333333333
9367,4071,1,0.0,78,0.8,0.0,0.0,-0.666666666667
9368,4071,2,0.0,78,0.5,0.0,0.0,-0.333333333333
9370,4073,1,0.0,184,0.5,0.0,0.0,-0.666666666667
9371,4073,2,1.0,184,0.0,0.0,0.0,-0.333333333333
9372,4074,1,1.0,185,0.0,-0.333333333333,0.111111111111,-0.666666666667
9373,4074,2,0.0,185,0.5,0.333333333333,0.111111111111,-0.333333333333
9374,4075,1,1.0,186,0.5,0.0,0.0,-0.666666666667
9375,4075,2,0.0,186,0.5,0.0,0.0,-0.333333333333
9376,4076,1,0.0,290,0.5,0.0,0.0,-0.75
9377,4076,2,0.0,290,0.5,0.0,0.0,-0.5
9378,4076,3,1.0,290,0.0,0.0,0.0,-0.25
9380,4078,1,3.0,1,0.0,0.0,0.0,-0.75
9381,4078,2,3.0,1,0.0,0.0,0.0,-0.5
9382,4078,3,2.0,1,0.0,0.0,0.0,-0.25
9383,4079,1,1.0,2,0.0,0.0,0.0,-0.75
9384,4079,2,1.0,2,0.0,0.0,0.0,-0.5
9385,4079,3,1.0,2,0.0,0.0,0.0,-0.25
9386,4080,1,1.0,4,0.75,0.0,0.0,-0.8
9387,4080,2,0.0,4,0.0,0.0,0.0,-0.6
9388,4080,3,0.0,4,0.0,0.0,0.0,-0.4
9389,4080,4,0.0,4,0.0,0.0,0.0,-0.2
9390,4081,1,0.0,5,0.75,0.0,0.0,-0.8
9391,4081,2,0.0,5,0.0,-0.2,0.04,-0.6
9392,4081,3,0.0,5,0.0,-0.2,0.04,-0.4
9393,4081,4,1.0,5,0.75,0.4,0.16,-0.2
9396,4084,1,1.0,10,0.0,0.0,0.0,-0.666666666667
9397,4084,2,0.0,10,0.0,0.0,0.0,-0.333333333333
9398,4085,1,1.0,11,0.0,0.0,0.0,-0.666666666667
9399,4085,2,0.0,11,0.0,0.0,0.0,-0.333333333333
9400,4086,1,1.0,66,0.5,0.0,0.0,-0.666666666667
9401,4086,2,0.0,66,0.0,0.0,0.0,-0.333333333333
9404,4089,1,1.0,8,0.0,0.0,0.0,-0.666666666667
9405,4089,2,2.0,8,0.0,0.0,0.0,-0.333333333333
9406,4090,1,1.0,9,0.0,-0.333333333333,0.111111111111,-0.666666666667
9407,4090,2,1.0,9,0.5,0.333333333333,0.111111111111,-0.333333333333
9408,4091,1,1.0,11,0.666666666667,0.0,0.0,-0.666666666667
9409,4091,2,0.0,11,0.5,0.0,0.0,-0.333333333333
9410,4092,1,1.0,14,-0.083333333333,-1.0,-0.333333333333,-0.666666666667
9411,4092,2,0.0,14,-0.75,-1.0,-0.333333333333,-0.333333333333
9412,4093,1,1.0,15,0.0,-0.333333333333,-0.111111111111,-0.666666666667
9413,4093,2,0.0,15,-0.75,-0.666666666667,0.0,-0.333333333333
9414,4094,1,1.0,32,0.05,-0.666666666667,-0.444444444444,-0.833333333333
9415,4094,2,1.0,32,-0.75,-0.833333333333,-0.416666666667,-0.666666666667
9416,4094,3,1.0,32,-0.75,-0.833333333333,-0.416666666667,-0.5
9417,4094,4,1.0,32,-0.75,-0.833333333333,-0.416666666667,-0.333333333333
9418,4094,5,0.0,32,-0.75,-0.833333333333,-0.416666666667,-0.166666666667
9419,4095,1,1.0,33,-0.75,-1.0,-0.333333333333,-0.833333333333
9420,4095,2,0.0,33,0.05,-0.5,-0.416666666667,-0.666666666667
9421,4095,3,0.0,33,-0.75,-0.833333333333,-0.416666666667,-0.5
9422,4095,4,0.0,33,-0.75,-0.833333333333,-0.416666666667,-0.333333333333
9423,4095,5,0.0,33,-0.75,-0.833333333333,-0.416666666667,-0.166666666667
9424,4096,1,1.0,35,0.4,-0.166666666667,0.0277777777778,-0.833333333333
9425,4096,2,0.0,35,0.0,-0.166666666667,0.0277777777778,-0.666666666667
9426,4096,3,0.0,35,0.8,0.333333333333,0.111111111111,-0.5
9427,4096,4,0.0,35,0.0,0.0,0.0,-0.333333333333
9428,4096,5,0.0,35,0.0,0.0,0.0,-0.166666666667
9429,4097,1,0.0,71,0.4,-0.142857142857,0.0204081632653,-0.857142857143
9430,4097,2,0.0,71,0.0,-0.142857142857,0.0204081632653,-0.714285714286
9431,4097,3,0.0,71,0.8,0.285714285714,0.0816326530612,-0.571428571429
9432,4097,4,1.0,71,0.0,0.0,0.0,-0.428571428571
9433,4097,5,0.0,71,0.0,0.0,0.0,-0.285714285714
9434,4097,6,0.0,71,0.0,0.0,0.0,-0.142857142857
9435,4098,1,1.0,200,0.5,-0.142857142857,0.0204081632653,-0.857142857143
9436,4098,2,0.0,200,0.0,-0.142857142857,0.0204081632653,-0.714285714286
9437,4098,3,0.0,200,0.8,0.285714285714,0.0816326530612,-0.571428571429
9438,4098,4,0.0,200,0.0,0.0,0.0,-0.428571428571
9439,4098,5,0.0,200,0.0,0.0,0.0,-0.285714285714
9440,4098,6,0.0,200,0.0,0.0,0.0,-0.142857142857
9441,4099,1,0.0,388,0.5,-0.125,0.015625,-0.875
9442,4099,2,0.0,388,0.0,-0.125,0.015625,-0.75
9443,4099,3,0.0,388,0.8,0.25,0.0625,-0.625
9444,4099,4,1.0,388,0.0,0.0,0.0,-0.5
9445,4099,5,0.0,388,0.0,0.0,0.0,-0.375
9446,4099,6,0.0,388,0.0,0.0,0.0,-0.25
9447,4099,7,0.0,388,0.0,0.0,0.0,-0.125
9448,4100,1,1.0,390,0.5,-0.125,0.015625,-0.875
9449,4100,2,0.0,390,0.5,-0.125,0.015625,-0.75
9450,4100,3,0.0,390,0.8,0.25,0.0625,-0.625
9451,4100,4,0.0,390,0.0,0.0,0.0,-0.5
9452,4100,5,0.0,390,0.0,0.0,0.0,-0.375
