,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,26.0,18,1,1.0,0.0,1.0,1.0,0.0
0,28.0,0,1,1.0,0.0,1.0,1.0,0.0
1,28.0,0,1,1.0,0.0,1.0,1.0,0.0
2,28.0,0,1,1.0,0.0,1.0,1.0,0.0
0,28.0,1,1,1.0,0.0,1.0,1.0,0.0
1,28.0,1,1,1.0,0.0,1.0,1.0,0.0
2,28.0,1,1,1.0,0.0,1.0,1.0,0.0
3,28.0,1,1,1.0,0.0,1.0,1.0,0.0
0,28.0,2,1,1.0,0.75,1.0,1.0,0.0
1,28.0,2,1,1.0,0.75,1.0,1.0,0.0
0,28.0,7,1,0.0,0.75,0.333333333333,0.111111111111,0.0
1,28.0,7,1,0.0,0.75,0.333333333333,0.111111111111,0.0
0,28.0,8,1,0.0,0.875,0.333333333333,0.111111111111,0.0
1,28.0,8,1,0.0,0.875,0.333333333333,0.111111111111,0.0
2,28.0,8,1,1.0,0.875,0.333333333333,0.111111111111,0.0
0,28.0,11,1,0.0,0.875,0.333333333333,0.111111111111,0.0
0,28.0,12,1,0.0,0.875,0.25,0.0625,0.0
0,28.0,13,1,0.0,0.875,0.25,0.0625,0.0
0,28.0,16,1,1.0,0.9,0.25,0.0625,0.0
0,28.0,28,1,1.0,0.909090909091,0.25,0.0625,0.0
0,28.0,29,1,1.0,0.916666666667,0.25,0.0625,0.0
0,28.0,36,1,0.0,0.916666666667,0.25,0.0625,0.0
0,28.0,49,1,0.0,0.916666666667,0.25,0.0625,0.0
0,28.0,120,1,1.0,0.923076923077,0.25,0.0625,0.0
0,28.0,121,1,1.0,0.928571428571,0.25,0.0625,0.0
0,28.0,158,1,1.0,0.933333333333,0.25,0.0625,0.0
0,28.0,1144,1,0.0,0.933333333333,0.2,0.04,0.0
0,28.0,1146,1,0.0,0.933333333333,0.2,0.04,0.0
0,31.0,0,1,1.0,0.0,1.0,1.0,0.0
1,31.0,0,1,1.0,0.0,1.0,1.0,0.0
0,31.0,1,1,0.0,0.0,0.5,0.25,0.0
1,31.0,1,1,0.0,0.0,0.5,0.25,0.0
2,31.0,1,1,1.0,0.0,0.5,0.25,0.0
3,31.0,1,1,1.0,0.0,0.5,0.25,0.0
4,31.0,1,1,1.0,0.0,0.5,0.25,0.0
5,31.0,1,1,1.0,0.0,0.5,0.25,0.0
6,31.0,1,1,1.0,0.0,0.5,0.25,0.0
0,31.0,2,1,0.0,0.666666666667,0.5,0.25,0.0
1,31.0,2,1,0.0,0.666666666667,0.5,0.25,0.0
2,31.0,2,1,1.0,0.666666666667,0.5,0.25,0.0
3,31.0,2,1,1.0,0.666666666667,0.5,0.25,0.0
0,31.0,3,1,0.0,0.875,0.5,0.25,0.0
1,31.0,3,1,1.0,0.875,0.5,0.25,0.0
2,31.0,3,1,1.0,0.875,0.5,0.25,0.0
0,31.0,5,1,0.0,0.9,0.5,0.25,0.0
1,31.0,5,1,1.0,0.9,0.5,0.25,0.0
0,31.0,10,1,1.0,0.916666666667,0.5,0.25,0.0
0,31.0,29,1,1.0,0.833333333333,0.5,0.25,-0.5
0,31.0,30,1,0.0,0.857142857143,0.5,0.25,-0.5
1,31.0,30,1,1.0,0.857142857143,0.5,0.25,-0.5
0,31.0,54,1,1.0,0.875,0.5,0.25,-0.5
0,31.0,70,1,0.0,0.928571428571,0.5,0.25,0.0
1,31.0,70,1,1.0,0.928571428571,0.5,0.25,0.0
0,31.0,86,1,1.0,0.9,0.5,0.25,-0.5
0,31.0,98,1,0.0,0.909090909091,0.5,0.25,-0.5
1,31.0,98,1,1.0,0.909090909091,0.5,0.25,-0.5
0,31.0,137,1,0.0,0.916666666667,0.5,0.25,-0.5
1,31.0,137,1,1.0,0.916666666667,0.5,0.25,-0.5
0,31.0,158,1,1.0,0.923076923077,0.5,0.25,-0.5
0,31.0,420,1,1.0,0.928571428571,0.5,0.25,-0.5
0,31.0,464,1,1.0,0.941176470588,0.5,0.25,0.0
0,31.0,624,1,0.0,0.944444444444,0.5,0.25,0.0
1,31.0,624,1,1.0,0.944444444444,0.5,0.25,0.0
0,31.0,852,1,0.0,0.947368421053,0.5,0.25,0.0
1,31.0,852,1,1.0,0.947368421053,0.5,0.25,0.0
0,31.0,1037,1,1.0,0.941176470588,0.5,0.25,-0.5
0,32.0,0,1,1.0,0.0,1.0,1.0,0.0
1,32.0,0,1,1.0,0.0,1.0,1.0,0.0
2,32.0,0,1,1.0,0.0,1.0,1.0,0.0
0,32.0,1,1,1.0,0.0,1.0,1.0,0.0
1,32.0,1,1,1.0,0.0,1.0,1.0,0.0
0,32.0,2,1,1.0,0.75,1.0,1.0,0.0
0,32.0,4,1,1.0,0.833333333333,1.0,1.0,0.0
0,32.0,8,1,1.0,0.857142857143,1.0,1.0,0.0
0,32.0,9,1,1.0,0.875,1.0,1.0,0.0
0,32.0,10,1,1.0,0.888888888889,1.0,1.0,0.0
0,32.0,30,1,1.0,0.9,1.0,1.0,0.0
0,32.0,45,1,1.0,0.909090909091,1.0,1.0,0.0
0,32.0,158,1,1.0,0.916666666667,1.0,1.0,0.0
0,32.0,245,1,1.0,0.923076923077,1.0,1.0,0.0
0,34.0,0,1,1.0,0.0,1.0,1.0,0.0
1,34.0,0,1,1.0,0.0,1.0,1.0,0.0
0,34.0,1,1,1.0,0.0,1.0,1.0,0.0
0,34.0,2,1,0.0,0.0,0.5,0.25,0.0
0,34.0,3,1,0.0,0.666666666667,0.5,0.25,0.0
1,34.0,3,1,1.0,0.666666666667,0.5,0.25,0.0
0,34.0,30,1,1.0,0.75,0.5,0.25,0.0
0,34.0,50,1,1.0,0.8,0.5,0.25,0.0
0,34.0,64,1,0.0,0.8,0.5,0.25,0.0
0,34.0,66,1,0.0,0.8,0.5,0.25,0.0
0,34.0,91,1,1.0,0.833333333333,0.5,0.25,0.0
